FORM	ROOT	SUFFIX	ETYMOLOGY	REMARK
NON-MALIGNANCY	NA		malignancy is of multiple origins. Either (i) formed within English, by derivation. Or (ii) a borrowing from Latin.	ROOT: non-malignant
NON-PREGNANCY	NA			
NONCOMBATANCY	non-combatant	ancy		
NONCOMBATANTANCY	NA	ancy		typo of “noncombatancy”
NONCOMPLIANCE	NA			
NONPREGNANCY	NA			
NOTHINGFANCY	NA			
NUANCE	NA			
NUISANCY	NA			An adjective; potentially from “nuisance” + -y
NUTNFANCY	NA			
OBSERVER-PARTICIPANCY	observer-participant	ancy		The fact or quality of participating in something.; source: “Participancy, N.” Oxford English Dictionary, Oxford UP, March 2025, https://doi.org/10.1093/OED/2982937061.
OCEANCONSERVANCY	NA			
OCUPANCY	NA			
OLSEN.NANCY	NA			
ORDNANCE	NA			
OUTCOMEEXPECTANCY	NA			
OVER-OCCUPANCY	NA			ROOT: over-occupant
OWNEROCCUPANCY	NA		occupancy is formed within English, by derivation.	ROOT: owner-occupant
PANCY	NA			
PAPALDISCREPANCY	NA			
PASTANCY	NA			
PECTANCY	NA			
PERGNANCY	NA			
PERMANANCY	NA			
PETIT-LANCY	NA			
PETTIT-NANCY	NA			
PFANCY	NA			
PHARMANCY	NA	acy		typo of “pharmacy”?
PHOSPHOROMANCY	phosphoromancy	-mancy	-mancy is a borrowing from French.	Phosphoromancy is a highly technical Discipline of Physical Magic that focuses on manipulating properties of light and photons.; source: https://themagicians.fandom.com/wiki/Phosphoromancy
PHOTO-OF-NANCY	NA			
PHOTOS-OF-NANCY	NA			
PIOGNANCY	NA	ancy		typo of “poignancy”
PITTANCE	NA			
PLANCY	NA			
POMERANCE	NA			
PORTAMANCY	portamancy	-mancy	-mancy is a borrowing from French.	Manipulation of the fabric between planes.; source: https://forum.wordreference.com/threads/negramancy-portamancy.2858496/#post-14447732
POST-EXPECTANCY	NA			
POST-PREGNANCY	NA			
POSTPREGNANCY	NA			
PRANCE	NA			
PRANCY	NA			
PRE-PREGNANCY	NA			
PREGANANCY	NA			
PREGANCY	NA			
PREPREGNANCY	NA			
PSEUDOPREGNANCY	NA			
RANCY	NA			
RAPE-PREGNANCY	NA			
REBALANCE	NA			
REDUDANCY	NA			
REDUNCANCY	NA			
RENAISSANCE	NA			
REOCCUPANCY	NA	ancy	occupancy is formed within English, by derivation.	
RESILIANCY	resilient	ancy	Formed within English, by derivation; originally modelled on a Latin lexical item.	
ROMANCE	NA			
ROMANCY	NA			potentially from “romance” + -y?
S-FANCY	NA			
SANCY	NA			
SCHMANCY	NA			Extremely or excessively fancy, esp. in a pretentious or ostentatious way; = fancy-schmancy adj.; source: “Schmancy, Adj.” Oxford English Dictionary, Oxford UP, July 2023, https://doi.org/10.1093/OED/1138842351.
SEANCE	NA			
SELF-DISCREPANCY	NA			
SELF-REDUNDANCY	NA			
SELF-RELIANCE	NA			
SHMANCY	NA			variant of “schamncy”
SINGLE-OCCUPANCY	NA		occupancy is formed within English, by derivation.	ROOT: single-occupant
SINGLE-ROOM-OCCUPANCY	NA		occupancy is formed within English, by derivation.	ROOT: single-room-occupant
SISTANCE	NA			
SITE-NANCY	NA			
SLAMBOYANCY	NA			
SOLVANCY	NA	ency		typo of “solvency” ?
SPECIALNANCY	NA			
STANCE	NA			
STANCY	NA			
STEALTH-NANCY	NA			
SUNDANCE	NA			
SUPER-REDUNDANCY	NA			
SUPREMANCY	NA	acy		typo of “supremacy”
SWANCY	NA			
SWIMMIN'FANCY	NA			
TANCY	NA			
TARRANCE	NA			
TECHNOMANCY	technomancy	-mancy		analogy to “necromancy” ?
TEEN-PREGNANCY	NA			
TEENPREGNANCY	NA			
TERRANCE	NA			
TEST-EXPECTANCY	NA			
THEMFANCY	NA			
THERMODORMANCY	thermodormant	-mancy	dormancy is of multiple origins. Either (i) formed within English, by derivation. Or (ii) a borrowing from French, combined with an English element.	
THINKOFBUOYANCY	NA			
TONYA-NANCY	NA			
TONYA/NANCY	NA			
TORRANCE	NA			
TRANCE	NA			
TRANCY	NA			potentially from “trance” + -y
TRANSPARANCY	NA	ency	transparency is a borrowing from Latin.	typo of “transparency” ? OED listed transparant as a variant of transparent, so maybe transparancy is an analogy to transparency as the adjective bases are variants ?
TRANSPERANCY	NA	ency	transparency is a borrowing from Latin.	typo of “transparency” ? OED listed transparant as a variant of transparent, so maybe transparancy is an analogy to transparency as the adjective bases are variants ?
TRIPLE-REDUNDANCY	NA			
ULTRAFANCY	NA			
UNFANCY	NA			
USINGDISCREPANCY	NA			
VANCE	NA			
VENGEANCY	vengeance		vengeance is a borrowing from French.	
WEARING'FANCY	NA			
WHENNANCY	NA			
YANCY	NA			
YOURFANCY	NA			
